"Name","Link"
"Kathi Darwaza","https://www.tripadvisor.com/Attraction_Review-g297623-d3705767-Reviews-Kathi_Darwaza-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Chakucraftsemporium","https://www.tripadvisor.com/Attraction_Review-g297623-d14785723-Reviews-Chakucraftsemporium-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Parihaspora Pattan","https://www.tripadvisor.com/Attraction_Review-g297623-d3705486-Reviews-Parihaspora_Pattan-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Pratap Park","https://www.tripadvisor.com/Attraction_Review-g297623-d13951601-Reviews-Pratap_Park-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Ghanta Ghar","https://www.tripadvisor.com/Attraction_Review-g297623-d12633557-Reviews-Ghanta_Ghar-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Tomb of Madin Sahib","https://www.tripadvisor.com/Attraction_Review-g297623-d4088676-Reviews-Tomb_of_Madin_Sahib-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Sangin Darwaza","https://www.tripadvisor.com/Attraction_Review-g297623-d3705574-Reviews-Sangin_Darwaza-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Masjid of Akhund Mullah","https://www.tripadvisor.com/Attraction_Review-g297623-d3705636-Reviews-Masjid_of_Akhund_Mullah-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Sky Bright Holidays","https://www.tripadvisor.com/Attraction_Review-g297623-d23730754-Reviews-Sky_Bright_Holidays-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Kashmir Tourism Cab","https://www.tripadvisor.com/Attraction_Review-g297623-d17247307-Reviews-Kashmir_Tourism_Cab-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Boulevard Road","https://www.tripadvisor.com/Attraction_Review-g297623-d25020246-Reviews-Boulevard_Road-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Gagribal","https://www.tripadvisor.com/Attraction_Review-g297623-d25020259-Reviews-Gagribal-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Burzhama Ruins","https://www.tripadvisor.com/Attraction_Review-g297623-d3149345-Reviews-Burzhama_Ruins-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Chinar Ghat","https://www.tripadvisor.com/Attraction_Review-g297623-d25020250-Reviews-Chinar_Ghat-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Sunday Farmers Market and Craft Bazaar","https://www.tripadvisor.com/Attraction_Review-g297623-d8155076-Reviews-Sunday_Farmers_Market_and_Craft_Bazaar-Srinagar_Srinagar_District_Kashmir_Jammu_a.html"
